Code,Name(s),Purpose,Status
E300,Ascorbic acid (Vitamin C),antioxidant,Approved in the EU.[23]
E301,Sodium ascorbate,antioxidant,Approved in the EU.[23]
E302,Calcium ascorbate,antioxidant,Approved in the EU.[23]
E303,Potassium ascorbate,antioxidant,
E304,Fatty acid esters of ascorbic acid (Ascorbyl palmitate),antioxidant,Approved in the EU.[23]
E305,Ascorbyl stearate,antioxidant,
E306,"Tocopherols (Vitamin E, natural)",antioxidant,Approved in the EU.[23]
E307,Alpha-Tocopherol (synthetic),antioxidant,Approved in the EU.[23]
E308,Gamma-Tocopherol (synthetic),antioxidant,Approved in the EU.[23]
E309,Delta-Tocopherol (synthetic),antioxidant,Approved in the EU.[23]
E310,Propyl gallate,antioxidant,Approved in the EU.[23]
E311,Octyl gallate,antioxidant,Approved in the EU.[23]
E312,Dodecyl gallate,antioxidant,Approved in the EU.[23]
E313,Ethyl gallate,antioxidant,
E314,Guaiac resin,antioxidant,
E315,Erythorbic acid,antioxidant,Approved in the EU.[23]
E316,Sodium erythorbate,antioxidant,Approved in the EU.[23]
E317,Erythorbin acid[citation needed],antioxidant,
E318,Sodium erythorbin[citation needed],antioxidant,
E319,tert-Butylhydroquinone (TBHQ),antioxidant,Approved in the EU.[23]
E320,Butylated hydroxyanisole (BHA),antioxidant,Approved in the EU.[23]
E321,Butylated hydroxytoluene (BHT),antioxidant,Approved in the EU.[23]
E322,Lecithin,emulsifier,Approved in the EU.[24]
E323,Anoxomer,antioxidant,
E324,Ethoxyquin,antioxidant,
E325,Sodium lactate,acidity regulator,Approved in the EU.[21]
E326,Potassium lactate (antioxidant),acidity regulator,Approved in the EU.[21]
E327,Calcium lactate,acidity regulator,Approved in the EU.[21]
E328,Ammonium lactate,acidity regulator,
E329,Magnesium lactate,acidity regulator,
E330,Citric acid,"acid, acidity regulator",Approved in the EU.[21]
E331,Sodium citrates (i) Monosodium citrate (ii) Disodium citrate (iii) Sodium citrate (trisodium citrate),acidity regulator,Approved in the EU.[21]
E332,Potassium citrates (i) Monopotassium citrate (ii) Potassium citrate (tripotassium citrate),acidity regulator,Approved in the EU.[21]
E333,Calcium citrates (i) Monocalcium citrate (ii) Dicalcium citrate (iii) Calcium citrate (tricalcium citrate),"acidity regulator, firming agent, sequestrant",Approved in the EU.[21]
E334,Tartaric acid (L(+)-),(acid),Approved in the EU.[21]
E335,"Sodium tartrates (i) Monosodium tartrate (ii), Disodium tartrate",acidity regulator,Approved in the EU.[21]
E336,Potassium tartrates (i) Monopotassium tartrate (cream of tartar) (ii) Dipotassium tartrate,acidity regulator,Approved in the EU.[21]
E337,Sodium potassium tartrate,acidity regulator,Approved in the EU.[21]
E338,Phosphoric acid,acid,Approved in the EU.[21]
E339,Sodium phosphates (i) Monosodium phosphate (ii) Disodium phosphate (iii) Trisodium phosphate,antioxidant,Approved in the EU.[21]
E340,Potassium phosphates (i) Monopotassium phosphate (ii) Dipotassium phosphate (iii) Tripotassium phosphate,antioxidant,Approved in the EU.[21]
E341,Calcium phosphates (i) Monocalcium phosphate (ii) Dicalcium phosphate (iii) Tricalcium phosphate,"anti-caking agent, firming agent",Approved in the EU.[21]
E342,Ammonium phosphates: (i) monoammonium phosphate (ii) diammonium phosphate,,
E343,Magnesium phosphates (i) monomagnesium phosphate (ii) Dimagnesium phosphate,anti-caking agent,Approved in the EU.[21] This additive is under discussion and may be included in a future amendment to the Directive on miscellaneous additives.
E344,Lecithin citrate,acidity regulator,Not approved in the UK[25]
E345,Magnesium citrate,acidity regulator,
E349,Ammonium malate,acidity regulator,
E350,Sodium malates (i) Sodium malate (ii) Sodium hydrogen malate,acidity regulator,Approved in the EU.[21]
E351,Potassium malate,acidity regulator,Approved in the EU.[21]
E352,Calcium malates (i) Calcium malate (ii) Calcium hydrogen malate,acidity regulator,Approved in the EU.[21]
E353,Metatartaric acid,emulsifier,Approved in the EU.[21]
E354,Calcium tartrate,emulsifier,Approved in the EU.[21]
E355,Adipic acid,acidity regulator,Approved in the EU.[21]
E356,Sodium adipate,acidity regulator,Approved in the EU.[21]
E357,Potassium adipate,acidity regulator,Approved in the EU.[21]
E359,Ammonium adipate,acidity regulator,
E363,Succinic acid,acidity regulator,Approved in the EU.[21]
E365,Monosodium fumarate,acidity regulator,
E366,Potassium fumarate,acidity regulator,
E367,Calcium fumarate,acidity regulator,
E368,Ammonium fumarate,acidity regulator,
E370,"1,4-Heptonolactone",acidity regulator,
E375,Niacin,acidity regulator,
E380,Triammonium citrate,acidity regulator,Approved in the EU.[21]
E381,Ammonium ferric citrate,acidity regulator,
E383,Calcium glycerylphosphate,acidity regulator,
E384,Isopropyl citrate,acidity regulator,
E385,"Calcium disodium ethylene diamine tetraacetate, (Calcium disodium EDTA)",sequestrant,Approved in the EU.[21]
E386,Disodium ethylene diamine tetraacetate (Disodium EDTA),sequestrant,
E387,Oxystearin,stabiliser,
E388,Thiodipropionic acid,,
E389,Dilauryl thiodipropionate,,
E390,Distearyl thiodipropionate,,
E391,Phytic acid,,
E392,Extracts of rosemary,,Approved in 2010[26]
E399,Calcium lactobionate,,
